Predicted,team_one_score,team_two_score,difference,actual_result,predicted_result,cond1a,cond1b,cond2a,cond2b
1,4,1,3,WIN,WIN,4,1,#N/A,#N/A
2,0,5,-5,LOSE,DRAW,#N/A,#N/A,0,5
2,1,1,0,DRAW,WIN,#N/A,#N/A,1,1
1,3,0,3,WIN,WIN,3,0,#N/A,#N/A
2,0,0,0,DRAW,WIN,#N/A,#N/A,0,0
1,0,3,-3,LOSE,LOSE,0,3,#N/A,#N/A
1,3,1,2,WIN,WIN,3,1,#N/A,#N/A
1,0,0,0,DRAW,DRAW,0,0,#N/A,#N/A
2,0,1,-1,LOSE,DRAW,#N/A,#N/A,0,1
2,4,0,4,WIN,DRAW,#N/A,#N/A,4,0
1,2,1,1,WIN,WIN,2,1,#N/A,#N/A
2,1,2,-1,LOSE,DRAW,#N/A,#N/A,1,2
2,1,1,0,DRAW,LOSE,#N/A,#N/A,1,1
2,1,0,1,WIN,LOSE,#N/A,#N/A,1,0
1,3,1,2,WIN,WIN,3,1,#N/A,#N/A
1,1,2,-1,LOSE,LOSE,1,2,#N/A,#N/A
2,2,2,0,DRAW,WIN,#N/A,#N/A,2,2
2,1,0,1,WIN,LOSE,#N/A,#N/A,1,0
2,1,1,0,DRAW,LOSE,#N/A,#N/A,1,1
1,1,1,0,DRAW,DRAW,1,1,#N/A,#N/A
2,2,0,2,WIN,LOSE,#N/A,#N/A,2,0
1,2,3,-1,LOSE,LOSE,2,3,#N/A,#N/A
2,0,2,-2,LOSE,DRAW,#N/A,#N/A,0,2
2,1,2,-1,LOSE,DRAW,#N/A,#N/A,1,2
1,1,2,-1,LOSE,LOSE,1,2,#N/A,#N/A
2,1,3,-2,LOSE,WIN,#N/A,#N/A,1,3
1,3,1,2,WIN,WIN,3,1,#N/A,#N/A
2,1,3,-2,LOSE,WIN,#N/A,#N/A,1,3
2,0,1,-1,LOSE,WIN,#N/A,#N/A,0,1
2,1,1,0,DRAW,LOSE,#N/A,#N/A,1,1
2,1,1,0,DRAW,LOSE,#N/A,#N/A,1,1
2,2,2,0,DRAW,WIN,#N/A,#N/A,2,2
2,1,0,1,WIN,DRAW,#N/A,#N/A,1,0
1,3,1,2,WIN,WIN,3,1,#N/A,#N/A
1,4,0,4,WIN,WIN,4,0,#N/A,#N/A
1,1,1,0,DRAW,DRAW,1,1,#N/A,#N/A
2,2,0,2,WIN,DRAW,#N/A,#N/A,2,0
1,0,3,-3,LOSE,LOSE,0,3,#N/A,#N/A
1,3,2,1,WIN,WIN,3,2,#N/A,#N/A
