prediction,actual_result,conversion,classification_correct?,,,
1,WIN,1,1,,Correct classification precentage:,72.30%
0,LOSE,0,1,,,
0,DRAW,0,1,,,
1,WIN,1,1,,,
0,DRAW,0,1,,,
0,LOSE,0,1,,,
1,WIN,1,1,,,
0,DRAW,0,1,,,
0,LOSE,0,1,,,
0,WIN,1,0,,,
0,WIN,1,0,,,
0,LOSE,0,1,,,
0,DRAW,0,1,,,
1,WIN,1,1,,,
0,WIN,1,0,,,
0,LOSE,0,1,,,
1,DRAW,0,0,,,
1,WIN,1,1,,,
0,DRAW,0,1,,,
0,DRAW,0,1,,,
0,WIN,1,0,,,
0,LOSE,0,1,,,
0,LOSE,0,1,,,
1,LOSE,0,0,,,
0,LOSE,0,1,,,
0,LOSE,0,1,,,
1,WIN,1,1,,,
0,LOSE,0,1,,,
1,LOSE,0,0,,,
0,DRAW,0,1,,,
0,DRAW,0,1,,,
1,DRAW,0,0,,,
1,WIN,1,1,,,
1,WIN,1,1,,,
1,WIN,1,1,,,
1,DRAW,0,0,,,
1,WIN,1,1,,,
0,LOSE,0,1,,,
0,WIN,1,0,,,
0,DRAW,0,1,,,
1,WIN,1,1,,,
0,DRAW,0,1,,,
0,WIN,1,0,,,
1,LOSE,0,0,,,
0,WIN,1,0,,,
0,LOSE,0,1,,,
0,WIN,1,0,,,
0,WIN,1,0,,,
0,DRAW,0,1,,,
0,DRAW,0,1,,,
0,LOSE,0,1,,,
1,WIN,1,1,,,
1,WIN,1,1,,,
0,LOSE,0,1,,,
1,WIN,1,1,,,
1,DRAW,0,0,,,
0,DRAW,0,1,,,
0,WIN,1,0,,,
1,WIN,1,1,,,
0,LOSE,0,1,,,
0,LOSE,0,1,,,
0,DRAW,0,1,,,
0,DRAW,0,1,,,
1,WIN,1,1,,,
1,WIN,1,1,,,
1,WIN,1,1,,,
1,WIN,1,1,,,
0,LOSE,0,1,,,
1,WIN,1,1,,,
1,DRAW,0,0,,,
0,WIN,1,0,,,
0,WIN,1,0,,,
0,WIN,1,0,,,
0,LOSE,0,1,,,
0,DRAW,0,1,,,
0,LOSE,0,1,,,
1,WIN,1,1,,,
0,LOSE,0,1,,,
0,LOSE,0,1,,,
0,WIN,1,0,,,
1,WIN,1,1,,,
0,WIN,1,0,,,
1,DRAW,0,0,,,
1,WIN,1,1,,,
1,WIN,1,1,,,
1,DRAW,0,0,,,
1,DRAW,0,0,,,
0,LOSE,0,1,,,
0,DRAW,0,1,,,
1,WIN,1,1,,,
0,LOSE,0,1,,,
